channel,date,time_et,ticker,side,strike,expiry,entry_bid,exit_pct,outcome,notes
platinum-options,2022-03-09,9:44 AM,COIN,call,200,May 20,15.0,,unknown,Buy to open; swing; adding 2 calls.
platinum-options,2022-03-14,9:46 AM,NIO,put,14,March 25,1.2,,unknown,Buy to open; no more support on NIO.
platinum-options,2022-03-16,12:52 PM,LEN,put,85,March 18,1.6,,unknown,Buy to open; swing; adding 5 puts ER lotto.
platinum-options,2022-03-16,7:47 AM,ARKK,call,60,Apr 22,3.95,,unknown,Buy to open; swing; adding 3 calls.
platinum-options,2022-03-21,7:08 AM,TSLA,call,950,March 25,12.5,,unknown,Buy to open; swing trade. Later update at 14$ from 12.50 average.
platinum-options,2022-03-21,7:40 AM,AMD,call,115,Apr 1,3.7,,unknown,Buy to open; swing trade. Later updates AMD at 4.30 and 530 from 3.70$.
options-king,2022-04-28,6:34 AM,COST,put,550,June 17,23.3,,unknown,Buy to open; swing play.
options-king,2022-04-28,6:54 AM,UNH,call,520,June 17,20.6,,unknown,Buy to open; swing play; exit at $2400+; stop loss at $1600.
options-king,2022-04-29,8:02 AM,NVDA,call,195,June 17,18.4,,unknown,Buy to open; swing play; stop loss at $15 or less; exit at $20+.
options-king,2022-05-04,7:23 AM,AMZN,call,2600,May 20,23.8,,unknown,Buy to open; swing play; stop loss at $1700 or less; exit at $30+.
options-king,2022-05-06,7:39 AM,OLED,call,140,Jan 20 2023,21.4,,unknown,Buy to open; long swing; stop loss at $1700 or less; exit at $2700+.
options-king,2022-05-09,8:21 AM,NFLX,call,180,June 24,13.25,,unknown,Buy to open; Stop loss at $9.50; exit at $16+.
platinum-options,2024-04-11,12:38 PM,BAC,put,36,Apr 19 2024,0.56,,unknown,Entry only Current BID $.56
etf-options,2024-04-24,7:57 AM,IWM,put,197,Apr 25,0.8,20,closed,Close at 13%; closing runners at 20%.
etf-options,2024-04-29,9:55 AM,TSLL,put,9.5,May 3 2024,0.6,100,closed,Close at 20%; later update says up 100% if held overnight.
etf-options,2024-05-02,9:22 AM,IWM,put,190,May 17 2024,0.8,,unknown,Average or close; adding at .25; entry alert.
